date,city,category,product,amount,quantity,unit_price
2026-05-01,北京,电子产品,iPhone 16,8999,2,4499.5
2026-05-01,上海,服装,羽绒服,1299,5,259.8
2026-05-02,北京,食品,有机大米,89,10,8.9
2026-05-02,广州,电子产品,AirPods,1299,3,433.0
2026-05-03,上海,食品,进口红酒,399,8,49.88
2026-05-03,北京,服装,运动鞋,699,4,174.75
2026-05-03,深圳,电子产品,MacBook,14999,1,14999.0
2026-05-04,上海,电子产品,iPhone 16,8999,3,2999.67
2026-05-04,广州,服装,T恤,199,15,13.27
2026-05-05,北京,食品,车厘子,129,20,6.45
2026-05-05,深圳,食品,有机牛奶,69,12,5.75
2026-05-06,上海,电子产品,MacBook,14999,2,7499.5
2026-05-06,广州,食品,进口牛排,299,6,49.83
2026-05-07,北京,电子产品,AirPods,1299,5,259.8
2026-05-07,深圳,服装,羽绒服,1299,3,433.0
2026-05-08,上海,服装,运动鞋,699,6,116.5
2026-05-08,广州,电子产品,iPhone 16,8999,1,8999.0
2026-05-09,北京,食品,进口红酒,399,5,79.8
2026-05-09,深圳,电子产品,MacBook,14999,1,14999.0
2026-05-10,上海,食品,车厘子,129,8,16.12
2026-05-10,广州,服装,T恤,199,10,19.9
2026-05-11,北京,电子产品,MacBook,14999,1,14999.0
2026-05-11,深圳,食品,有机大米,89,15,5.93
2026-05-12,上海,电子产品,AirPods,1299,4,324.75
2026-05-12,广州,服装,羽绒服,1299,2,649.5
2026-05-13,北京,食品,有机牛奶,69,20,3.45
2026-05-13,深圳,服装,运动鞋,699,5,139.8
2026-05-14,上海,电子产品,iPhone 16,8999,2,4499.5
2026-05-14,广州,食品,车厘子,129,6,21.5
2026-05-15,北京,服装,T恤,199,8,24.88
